klyuch,hozyaistvo,vino,vivino_id,vivino_adres,vivino_status,etiketok,v_knige,est_u_kritikov,rejon,vinogorje,rejon_istochnik,cvet
aleksic-amanet-vranac,Aleksić,Amanet Vranac,2748871,https://www.vivino.com/w/2748871,ocenka_est,4186,False,True,Vranjski rejon,,konkurs,красное
aleksic-arno,Aleksić,Arno,,,net_na_vivino,,False,True,Vranjski rejon,,konkurs,белое
aleksic-arno-sauvignon-blanc,Aleksić,Arno Sauvignon Blanc,2186987,https://www.vivino.com/w/2186987,ocenka_est,482,False,True,Vranjski rejon,,konkurs,белое
aleksic-barbara,Aleksić,Barbara,,,net_na_vivino,,False,False,Vranjski rejon,Vrtogoško vinogorje,hozyaistvo,розе
aleksic-barbara-muskat-hamburg-cabernet-sauvignon,Aleksić,Barbara Muskat Hamburg - Cabernet Sauvignon,1926088,https://www.vivino.com/w/1926088,ocenka_est,3727,False,False,Vranjski rejon,Vrtogoško vinogorje,hozyaistvo,розе
aleksic-biser,Aleksić,Biser,6225574,https://www.vivino.com/w/6225574,ocenka_est,242,False,False,Vranjski rejon,Vrtogoško vinogorje,hozyaistvo,игристое
aleksic-biser-extra-brut,Aleksić,Biser Extra Brut,,,net_na_vivino,,False,True,Vranjski rejon,Vrtogoško vinogorje,hozyaistvo,
aleksic-biser-smederevka,Aleksić,Biser Smederevka,,,net_na_vivino,,False,True,Vranjski rejon,Vrtogoško vinogorje,hozyaistvo,
aleksic-biser-smederevka-brut,Aleksić,Biser Smederevka Brut,,,net_na_vivino,,False,True,Vranjski rejon,,konkurs,белое
aleksic-biser-smederevka-extra-brut,Aleksić,Biser Smederevka Extra Brut,,,net_na_vivino,,False,True,Vranjski rejon,,konkurs,белое
aleksic-bonaca-chardonnay,Aleksić,Bonaca Chardonnay,2641605,https://www.vivino.com/w/2641605,ocenka_est,1323,False,True,Vranjski rejon,,konkurs,белое
aleksic-bonaca-gold,Aleksić,Bonaca Gold,5148976,https://www.vivino.com/w/5148976,malo_ocenok,140,False,False,Vranjski rejon,Vrtogoško vinogorje,hozyaistvo,игристое
aleksic-bonaca-limited,Aleksić,Bonaca Limited,,,net_na_vivino,,False,True,Vranjski rejon,,konkurs,белое
